word,id
happened.,5
here.,5
hurtled,5
street.,5
all.”,5
desperate,5
"ago,",5
crack,5
newspaper,5
"turban,",5
in?”,5
turban.,5
crowd.,5
“Yeh,5
"nostrils,",5
11,5
"“Yeah,”",5
Through,5
pig,5
“Yeah,5
upset,5
else.,5
"else,",5
“Now,5
noses,5
scarlet,5
hut.,5
hair.,5
dungeons,5
“Three,5
platforms,5
people.,5
squinting,5
arrived.,5
perfectly,5
We’re,5
strangely,5
Stone’s,5
twin,5
parcel.,5
"one,”",5
two.,5
“There,5
plastic,5
dragon’s,5
waited,5
passageway,5
summat,5
"saw,",5
out.”,5
"dragon,",5
dragons,5
place.,5
here?”,5
saved,5
stretched,5
rule,5
didn’t.,5
“and,5
grounds.,5
"over,",5
noise.,5
Why,5
eggs,5
struck,5
Who,5
Some,5
stunned,5
scrambled,5
drop,5
"dark,",5
station,5
hospital,5
"done,",5
imagining,5
dormitory,5
darkly.,5
do?”,5
sank,5
nothin’,5
"ground,",5
warned,5
weak,5
hat.,5
pack,5
had.,5
helped,5
school.,5
“We’re,5
watch.,5
"table,",5
empty.,5
Never,5
relieved,5
"Dumbledore,”",5
miles,5
Dudley.,5
blew,5
furiously,5
tonight.,5
midnight,5
snapped.,5
tonight.”,5
bits,5
greatest,5
feather,5
Nobody,5
toilet,5
"together,",5
shrieked,5
"toad,",5
Marcus,5
leaning,5
Maybe,5
"worry,",5
worried,5
meeting,5
world.,5
proper,5
laughed,5
Elixir,5
today.,5
work.,5
finally.,5
wore,5
wizards.,5
wizarding,5
cauldron,5
below,5
Cross,5
"Crabbe,",5
towering,5
Could,5
class.,5
“Hagrid,5
kid,5
"so,”",5
"“Hagrid,”",5
tapped,5
believed,5
fact,5
cleared,5
win,5
Only,5
knees,5
Norris,5
faster,5
know.,5
"know,”",5
father’s,5
father.,5
presents,5
Dean,5
chocolate,5
"so,",5
far.,5
"game,",5
teacher,5
wish,5
Of,5
garden,5
to.,5
"Malfoy,”",5
"power,",5
bringing,5
’cause,5
bronze,5
you!”,5
yet.,5
looks,5
"thick,",5
losing,5
Hogwarts.”,5
"lost,",5
"yes,”",5
"Hufflepuff,",5
lot.,5
breathing,5
Go,5
look.,5
business,5
breath.,5
"Hall,",5
this.”,5
"this,”",5
lived,5
"sleep,",5
Have,5
Head,5
thought.,5
History,5
lips,5
"floor,",5
locker,5
"brooms,",5
brooms,5
afford,5
slithering,5
"quietly,",5
silence.,5
carry,5
"Fluffy,",5
forward.,5
tightly,5
careful,5
"man,",5
"reason,",5
bottom,5
Lady,5
Finnigan,5
leg.,5
castle.,5
reckon,5
silently,5
silent.,5
"car,",5
putting,5
"light,",5
quick,5
yeh’ve,5
forced,5
fixed,5
James,5
ticket,5
branches,5
"sister,",5
“Be,5
"sir,”",5
library.,5
"library,",5
there!”,5
mad,5
"sir,",5
"Percy,",5
homework,5
Restricted,5
Seeker,5
"beard,",5
trembling.,5
enough.,5
tables,5
trust,5
corridor.,5
enormous,5
possibly,5
solid,5
grab,5
entered,5
pocket.,5
share,5
become,5
tree.,5
becoming,5
who’d,5
bag,5
neither,5
"much,",5
swallowed,5
bear,5
"why,",5
swooping,5
goblins,5
muttering,5
"Right,",5
complained,5
exam,5
poor,5
"something,",5
"whispered,",5
"trouble,",5
completely,5
"sorry,",5
roast,5
names,5
rob,5
control,5
somehow,5
wherever,5
barely,5
"robes,",5
shivered,5
moving,5
bald,5
"surprise,",5
indeed,5
"sofa,",5
right.”,5
nervous,5
well.,5
"mouth,",5
"Petunia,",5
back.”,5
shop.,5
trash,5
bacon,5
"stick,",4
though.,4
"then,”",4
surprise,4
sweater,4
sun,4
bursting,4
turban,4
sticking,4
computer,4
award,4
stopped.,4
speed,4
cannot,4
envelope,4
true,4
gonna,4
candy,4
thirty,4
"forward,",4
bound,4
cards,4
"cart,",4
books.,4
shadows.,4
something?”,4
sea,4
complain,4
sparkling,4
course.,4
"castle,",4
"though,”",4
smile,4
smelled,4
emptied,4
evil,4
complete,4
"heart,",4
"cried,",4
flute,4
afternoon.,4
sleep,4
distant,4
"first,",4
"alone,",4
somethin’,4
fluttered,4
fitted,4
brass,4
dinner,4
"good,",4
flooded,4
backward,4
die,4
"dog,",4
special,4
bring,4
"still,",4
ahead.,4
threatening,4
died.,4
bags,4
shaped,4
dodged,4
"screamed,",4
sorts,4
badly,4
"thing,",4
speak.,4
grass,4
counted,4
burning,4
speaking,4
station.,4
"broomstick,",4
throat,4
unwrap,4
unwrapped,4
start-of-term,4
good-bye,4
bad.,4
"again,”",4
flames,4
forehead,4
"sorry,”",4
flashed,4
dived,4
brother,4
"started,",4
crashed,4
cakes,4
"breath,",4
"doing,",4
throw,4
suspected,4
bundle,4
didn’,4
do?,4
cake,4
eaten,4
"books,",4
short,4
summer,4
crunching,4
tore,4
struggling,4
"big,",4
spiral,4
toppled,4
"anymore,",4
"teacher,",4
family.,4
glared,4
archway,4
eagerly.,4
struggled,4
teams,4
strongly,4
squashy,4
sneaking,4
"father,",4
clutched,4
ear.,4
sniffed,4
early,4
ears.,4
dark.,4
crowded,4
shooting,4
feast,4
squeezed,4
coat.,4
cheers,4
drinking,4
glancing,4
chuckled.,4
soft,4
bewitched,4
stumbled,4
tape,4
soccer,4
faces.,4
ghosts,4
anyway.,4
training,4
giant.,4
eyed,4
shops,4
hairy,4
gently,4
tapping,4
curious,4
clock,4
classroom.,4
shoulder.,4
classes,4
closed,4
beside,4
girls’,4
taught,4
"cupboard,",4
"better,",4
extremely,4
gives,4
"gasped,",4
gasped,4
trapdoor.,4
"bit,",4
"trees,",4
doubt,4
death,4
suit,4
sideways,4
"somehow,",4
streaked,4
today,4
sighed,4
"unicorn,",4
boa,4
"staircase,",4
"board,",4
"dragons,",4
terrified,4
"go,”",4
front.,4
"terrified,",4
shuffled,4
boat,4
finds,4
armor.,4
bobbing,4
stairs.,4
cursed,4
"something,”",4
thank,4
downstairs,4
"smiling,",4
bolt,4
something.”,4
"caught,",4
frightened,4
among,4
excuse,4
happens,4
"cold,",4
spells,4
snarled,4
suggest,4
black-haired,4
blame,4
drills,4
"furiously,",4
animals,4
"hands,",4
"field,",4
beat,4
"daylight,",4
blinked,4
shone,4
fun,4
"days,",4
angrily,4
beard,4
blocked,4
"arm,",4
happen.,4
dreamed,4
"side,",4
"chamber,",4
"chair,",4
shocked,4
chair,4
blood.,4
"finally,",4
telephone,4
disappeared.,4
roughly,4
queen,4
"Harry,”",4
"remember,",4
power,4
zoo,4
Chasers,4
Chaser,4
Charms,4
"Potter,”",4
Potter!”,4
woken,4
lake,4
Those,4
wanted.,4
Had,4
"meanwhile,",4
Filch’s,4
notes,4
note.,4
"note,",4
mother’s,4
mark,4
not.,4
"“Hey,",4
means,4
planets,4
rustling,4
These,4
